1;3;50;52;59;74
2;7;18;53;54;85
3;11;27;55;68;80
4;48;55;62;69;80
5;11;15;26;39;78
6;11;15;23;43;87
7;24;43;44;48;58
8;27;35;51;57;59
9;38;39;52;79;85
10;28;30;35;56;84
11;15;36;45;58;72
12;16;38;54;84;90
13;1;23;27;42;84
14;5;22;25;67;87
15;8;33;57;62;66
16;24;36;44;63;68
17;43;45;56;66;82
18;22;24;43;64;90
19;6;18;51;59;64
20;9;10;36;50;78
21;4;27;41;72;88
22;22;42;62;82;84
23;3;7;32;41;58
24;2;39;69;72;74
25;29;54;63;78;83
26;1;9;11;19;41
27;40;47;52;57;83
28;10;42;60;78;82
29;32;43;60;74;79
30;16;55;60;67;76
31;15;24;27;29;40
32;13;14;21;34;84
33;39;41;46;47;60
34;22;29;53;62;74
35;4;13;47;76;78
36;9;16;78;83;86
37;1;9;17;18;89
38;8;29;59;77;89
39;1;23;37;49;60
40;23;36;38;57;76
41;17;22;47;73;90
42;14;34;43;52;78
43;53;55;67;79;80
44;7;53;65;73;87
45;1;11;45;67;78
46;8;9;19;37;43
47;33;43;58;60;77
48;7;63;69;76;85
49;10;14;25;51;71
50;26;27;30;73;85
51;8;35;60;67;84
52;25;42;45;52;86
